ID,Tweet,Candidate,Stance,Preproc_Tweet,Tokens
72853,@JDMahama I have never vote before. But I and ten of my friends are ready to vote when we get something.,John,0.0,mahama i have never vote before but i and ten of my friends are ready to vote when we get something,"['mahama', 'i', 'have', 'never', 'vote', 'befor', 'but', 'i', 'and', 'ten', 'of', 'my', 'friend', 'are', 'readi', 'to', 'vote', 'when', 'we', 'get', 'someth']"
72854,I need all of your help my people to get a job in clientele management or supply chain management. IÃ¢â¬â¢m currently inÃ¢â¬Â¦ https://t.co/JTLWb1dsgx,John,0.0,i need all of your help my people to get a job in clientele management or supply chain management im currently in ,"['i', 'need', 'all', 'of', 'your', 'help', 'my', 'peopl', 'to', 'get', 'a', 'job', 'in', 'clientel', 'manag', 'or', 'suppli', 'chain', 'manag', 'im', 'current', 'in']"
72857,@JDMahama Thanks and that is my heart.,John,0.0,mahama thanks and that is my heart,"['mahama', 'thank', 'and', 'that', 'is', 'my', 'heart']"
72859,Exactly...We canÃ¢â¬â¢t mind our business because Nigeria is part of our business. https://t.co/e7j6DMi9QO,John,0.0,exactlywe cant mind our business because nigeria is part of our business ,"['exactlyw', 'cant', 'mind', 'our', 'busi', 'becaus', 'nigeria', 'is', 'part', 'of', 'our', 'busi']"
72860,@OfficialNDCGh @JDMahama @ndccommbureau  The EC has given a detailed update on the state of affairs regarding the pÃ¢â¬Â¦ https://t.co/tesSrkduAf,John,0.0,ndc mahama   the ec has given a detailed update on the state of affairs regarding the p ,"['ndc', 'mahama', 'the', 'ec', 'ha', 'given', 'a', 'detail', 'updat', 'on', 'the', 'state', 'of', 'affair', 'regard', 'the', 'p']"
72861,I will do this not just for myself but also the next generationÃ¢ÅÅÃ°Å¸âÂ¯Ã¢ï¿½Â¤ https://t.co/GbEobwMjS9,John,0.0,i will do this not just for myself but also the next generation ,"['i', 'will', 'do', 'thi', 'not', 'just', 'for', 'myself', 'but', 'also', 'the', 'next', 'gener']"
72863,Thank you so much for this! https://t.co/YwPTXjcq48,John,0.0,thank you so much for this ,"['thank', 'you', 'so', 'much', 'for', 'thi']"
72871,@JDMahama Which John again?,John,0.0,mahama which john again,"['mahama', 'which', 'john', 'again']"
72879,"@JDMahama Only if you can assure us, is not only NDC people you will employ. Not by mouth but by oaths Ã°Å¸âï¿½Ã°Å¸ï¿½Â¿",John,0.0,mahama only if you can assure us is not only ndc people you will employ not by mouth but by oaths ,"['mahama', 'onli', 'if', 'you', 'can', 'assur', 'us', 'is', 'not', 'onli', 'ndc', 'peopl', 'you', 'will', 'employ', 'not', 'by', 'mouth', 'but', 'by', 'oath']"
72882,@Citi973 @JDMahama Only thing I want to ask is how many people are in prison now for galamsey? Just so I get a scalÃ¢â¬Â¦ https://t.co/Sp5O6fX5Qd,John,0.0, mahama only thing i want to ask is how many people are in prison now for galamsey just so i get a scal ,"['mahama', 'onli', 'thing', 'i', 'want', 'to', 'ask', 'is', 'how', 'mani', 'peopl', 'are', 'in', 'prison', 'now', 'for', 'galamsey', 'just', 'so', 'i', 'get', 'a', 'scal']"
72885,@NDagaati @JDMahama Maybe u never stated cos i never missed any of ur comment back,John,0.0, mahama maybe u never stated cos i never missed any of ur comment back,"['mahama', 'mayb', 'u', 'never', 'state', 'co', 'i', 'never', 'miss', 'ani', 'of', 'ur', 'comment', 'back']"
72886,@Rasta4NDC @JDMahama Lol go back and read my comments again maybe you didnÃ¢â¬â¢t pay attention.,John,0.0, mahama lol go back and read my comments again maybe you didnt pay attention,"['mahama', 'lol', 'go', 'back', 'and', 'read', 'my', 'comment', 'again', 'mayb', 'you', 'didnt', 'pay', 'attent']"
72887,@NDagaati @JDMahama Like seriously mention me in any of the comments u said about what a pan afrikanist does just mention dem...,John,0.0, mahama like seriously mention me in any of the comments u said about what a pan afrikanist does just mention dem,"['mahama', 'like', 'serious', 'mention', 'me', 'in', 'ani', 'of', 'the', 'comment', 'u', 'said', 'about', 'what', 'a', 'pan', 'afrikanist', 'doe', 'just', 'mention', 'dem']"
72888,@johndumelo1 Hi Mr. Dumelo please I want u to talk about something important to me. The contractors at the MPS PortÃ¢â¬Â¦ https://t.co/h14VrbudXp,John,0.0, hi mr dumelo please i want u to talk about something important to me the contractors at the mps port ,"['hi', 'mr', 'dumelo', 'pleas', 'i', 'want', 'u', 'to', 'talk', 'about', 'someth', 'import', 'to', 'me', 'the', 'contractor', 'at', 'the', 'mp', 'port']"
72890,@Rasta4NDC @JDMahama Ã°Å¸Ëâ IÃ¢â¬â¢m not and stop getting emotional cya it seems like you donÃ¢â¬â¢t hv anything else to say. IÃ¢â¬â¢mÃ¢â¬Â¦ https://t.co/Go2LtPYD5J,John,0.0, mahama  im not and stop getting emotional cya it seems like you dont hv anything else to say im ,"['mahama', 'im', 'not', 'and', 'stop', 'get', 'emot', 'cya', 'it', 'seem', 'like', 'you', 'dont', 'hv', 'anyth', 'els', 'to', 'say', 'im']"
72898,If @JDMahama wins what will happen Ã°Å¸Â¤â,John,0.0,if mahama wins what will happen ,"['if', 'mahama', 'win', 'what', 'will', 'happen']"
72899,@NDagaati @JDMahama I see who u are and wht u are no further vibe pan africanism is not about who corn the word isÃ¢â¬Â¦ https://t.co/riUMgeVgzL,John,0.0, mahama i see who u are and wht u are no further vibe pan africanism is not about who corn the word is ,"['mahama', 'i', 'see', 'who', 'u', 'are', 'and', 'wht', 'u', 'are', 'no', 'further', 'vibe', 'pan', 'african', 'is', 'not', 'about', 'who', 'corn', 'the', 'word', 'is']"
72903,"@RudolfKwame @utvghana @JDMahama From his own mouth, https://t.co/JSFDQOzLxz",John,0.0,  mahama from his own mouth ,"['mahama', 'from', 'hi', 'own', 'mouth']"
72904,@NDagaati @JDMahama I must say u know better than the pan africanist demself https://t.co/Uq0BDIGQvD,John,0.0, mahama i must say u know better than the pan africanist demself ,"['mahama', 'i', 'must', 'say', 'u', 'know', 'better', 'than', 'the', 'pan', 'africanist', 'demself']"
72906,@Rasta4NDC @JDMahama Per ur logic that Means Nana Addo is also a pan-Afrikanist just because he granted citizenshipÃ¢â¬Â¦ https://t.co/Jn5m3tWn7J,John,0.0, mahama per ur logic that means nana addo is also a pan-afrikanist just because he granted citizenship ,"['mahama', 'per', 'ur', 'logic', 'that', 'mean', 'nana', 'addo', 'is', 'also', 'a', 'pan-afrikanist', 'just', 'becaus', 'he', 'grant', 'citizenship']"
72908,@JDMahama Yes we need these,John,0.0,mahama yes we need these,"['mahama', 'ye', 'we', 'need', 'these']"
72909,@NDagaati @JDMahama Thats why i asked you if you do understand the term pan african ??? The difference u refuse toÃ¢â¬Â¦ https://t.co/u8CZfhLKop,John,0.0, mahama thats why i asked you if you do understand the term pan african  the difference u refuse to ,"['mahama', 'that', 'whi', 'i', 'ask', 'you', 'if', 'you', 'do', 'understand', 'the', 'term', 'pan', 'african', 'the', 'differ', 'u', 'refus', 'to']"
72911,@Rasta4NDC @JDMahama Name two my lordÃ°Å¸ËâÃ°Å¸Ëâ,John,0.0, mahama name two my lord,"['mahama', 'name', 'two', 'my', 'lord']"
72919,@BigDaddyCee7 @Rasta4NDC @JDMahama If the president has indeed learnt his mistakes and has changed and will refrainÃ¢â¬Â¦ https://t.co/FsVmYwOAwy,John,0.0,  mahama if the president has indeed learnt his mistakes and has changed and will refrain ,"['mahama', 'if', 'the', 'presid', 'ha', 'inde', 'learnt', 'hi', 'mistak', 'and', 'ha', 'chang', 'and', 'will', 'refrain']"
72920,@NobleSo82936007 @BigDaddyCee7 @JDMahama Did Nana tell us how he was going to initiate fshs or any of his promisesÃ¢â¬Â¦ https://t.co/CNoQIzJlGn,John,0.0,  mahama did nana tell us how he was going to initiate fshs or any of his promises ,"['mahama', 'did', 'nana', 'tell', 'us', 'how', 'he', 'wa', 'go', 'to', 'initi', 'fsh', 'or', 'ani', 'of', 'hi', 'promis']"
72923,@BigDaddyCee7 @Rasta4NDC @JDMahama The Ghanaian people knows the differences between a written document called maniÃ¢â¬Â¦ https://t.co/JRNffdDWI8,John,0.0,  mahama the ghanaian people knows the differences between a written document called mani ,"['mahama', 'the', 'ghanaian', 'peopl', 'know', 'the', 'differ', 'between', 'a', 'written', 'document', 'call', 'mani']"
72924,@Rasta4NDC @JDMahama ThereÃ¢â¬â¢s none and as I said mention one if thereÃ¢â¬â¢s any.,John,0.0, mahama theres none and as i said mention one if theres any,"['mahama', 'there', 'none', 'and', 'as', 'i', 'said', 'mention', 'one', 'if', 'there', 'ani']"
72927,@NDagaati @JDMahama Yes i mean seriously u answer and i tell you the contribution of the NDC and mahama on Pan afriÃ¢â¬Â¦ https://t.co/zQwJ4lVHNM,John,0.0, mahama yes i mean seriously u answer and i tell you the contribution of the ndc and mahama on pan afri ,"['mahama', 'ye', 'i', 'mean', 'serious', 'u', 'answer', 'and', 'i', 'tell', 'you', 'the', 'contribut', 'of', 'the', 'ndc', 'and', 'mahama', 'on', 'pan', 'afri']"
72928,"Some Ghanaians are mean oooÃ°Å¸ËâÃ°Å¸Ëâ @JDMahama  ay3 mobo dodo, just listen carefully!! https://t.co/74y3m2OnkR",John,0.0,some ghanaians are mean ooo mahama  ay mobo dodo just listen carefully ,"['some', 'ghanaian', 'are', 'mean', 'ooo', 'mahama', 'ay', 'mobo', 'dodo', 'just', 'listen', 'care']"
72933,@Rasta4NDC @JDMahama I should be asking you rather like seriouslyÃ°Å¸ËÂ³Ã°Å¸ËÂ³Ã°Å¸ËÂ³Ã°Å¸ËÂ³,John,0.0, mahama i should be asking you rather like seriously,"['mahama', 'i', 'should', 'be', 'ask', 'you', 'rather', 'like', 'serious']"
72934,@NDagaati @JDMahama Before i go ahead to explain to you bredda whats your understanding on the term pan africanisim???,John,0.0, mahama before i go ahead to explain to you bredda whats your understanding on the term pan africanisim,"['mahama', 'befor', 'i', 'go', 'ahead', 'to', 'explain', 'to', 'you', 'bredda', 'what', 'your', 'understand', 'on', 'the', 'term', 'pan', 'africanisim']"
72943,@august4551 @JDMahama Look i didn't i ask you to name one president in Ghana history that never faced criticisms noÃ¢â¬Â¦ https://t.co/KqmWUX1Y0q,John,0.0, mahama look i didn't i ask you to name one president in ghana history that never faced criticisms no ,"['mahama', 'look', 'i', ""didn't"", 'i', 'ask', 'you', 'to', 'name', 'one', 'presid', 'in', 'ghana', 'histori', 'that', 'never', 'face', 'critic', 'no']"
72945,@august4551 @ElvisFrimpongB1 @JDMahama The outcome?? The real question would be if it was a fact or just perceptionÃ¢â¬Â¦ https://t.co/Y9UDhXfR2t,John,0.0,  mahama the outcome the real question would be if it was a fact or just perception ,"['mahama', 'the', 'outcom', 'the', 'real', 'question', 'would', 'be', 'if', 'it', 'wa', 'a', 'fact', 'or', 'just', 'percept']"
72946,@NobleSo82936007 @BigDaddyCee7 @JDMahama Am not here to tell u who must vote n who not to but am here to tell you tÃ¢â¬Â¦ https://t.co/aj24O3SA1u,John,0.0,  mahama am not here to tell u who must vote n who not to but am here to tell you t ,"['mahama', 'am', 'not', 'here', 'to', 'tell', 'u', 'who', 'must', 'vote', 'n', 'who', 'not', 'to', 'but', 'am', 'here', 'to', 'tell', 'you', 't']"
72947,@NDagaati @JDMahama They the NDC believe in Pan Africanism now Rastafarian supporters. When are they going to talkÃ¢â¬Â¦ https://t.co/LOlwxenupB,John,0.0, mahama they the ndc believe in pan africanism now rastafarian supporters when are they going to talk ,"['mahama', 'they', 'the', 'ndc', 'believ', 'in', 'pan', 'african', 'now', 'rastafarian', 'support', 'when', 'are', 'they', 'go', 'to', 'talk']"
72948,@august4551 @JDMahama Man i addressed the issue of why i used the word nonsense...if u see it as insult that's yourÃ¢â¬Â¦ https://t.co/srjILLfHuB,John,0.0, mahama man i addressed the issue of why i used the word nonsenseif u see it as insult that's your ,"['mahama', 'man', 'i', 'address', 'the', 'issu', 'of', 'whi', 'i', 'use', 'the', 'word', 'nonsenseif', 'u', 'see', 'it', 'as', 'insult', ""that'"", 'your']"
72954,"The Primary Health care policy is very powerful but it is not being well communicated by the NDC. 
 #MUNCHEÃ¢â¬Â¦ https://t.co/Q0nR3giam2",John,0.0,"the primary health care policy is very powerful but it is not being well communicated by the ndc 
  ","['the', 'primari', 'health', 'care', 'polici', 'is', 'veri', 'power', 'but', 'it', 'is', 'not', 'be', 'well', 'commun', 'by', 'the', 'ndc']"
72962,"I had D7 on one core but am setting in the house ,it that my end https://t.co/Fa9P5a4aYt",John,0.0,i had d on one core but am setting in the house it that my end ,"['i', 'had', 'd', 'on', 'one', 'core', 'but', 'am', 'set', 'in', 'the', 'hous', 'it', 'that', 'my', 'end']"
72963,@JDMahama Do well and hammer on the Galamsy excavators issue when you get to galamsy areas thanks.,John,0.0,mahama do well and hammer on the galamsy excavators issue when you get to galamsy areas thanks,"['mahama', 'do', 'well', 'and', 'hammer', 'on', 'the', 'galamsi', 'excav', 'issu', 'when', 'you', 'get', 'to', 'galamsi', 'area', 'thank']"
72979,Ghana Election 2020: IMF Have Been Scammed By The Finance Minister : @JDMahama https://t.co/d7Syiv1Dyz via #KubiLive,John,0.0,ghana election : imf have been scammed by the finance minister : mahama  via #kubilive,"['ghana', 'elect', 'imf', 'have', 'been', 'scam', 'by', 'the', 'financ', 'minist', 'mahama', 'via', '#kubil']"
72983,"@Rasta4NDC @BigDaddyCee7 @JDMahama What's in the manifesto that's most beneficial to these men?

Where are these meÃ¢â¬Â¦ https://t.co/9U7v16wQSG",John,0.0,"  mahama what's in the manifesto that's most beneficial to these men

where are these me ","['mahama', ""what'"", 'in', 'the', 'manifesto', ""that'"", 'most', 'benefici', 'to', 'these', 'men', 'where', 'are', 'these', 'me']"
72984,@RudolfKwame @Citi973 @JDMahama So Mills did nothing?,John,0.0,  mahama so mills did nothing,"['mahama', 'so', 'mill', 'did', 'noth']"
72985,@Citi973 @JDMahama By next week the president will grant pardon to some inmates. just wait for it.,John,0.0, mahama by next week the president will grant pardon to some inmates just wait for it,"['mahama', 'by', 'next', 'week', 'the', 'presid', 'will', 'grant', 'pardon', 'to', 'some', 'inmat', 'just', 'wait', 'for', 'it']"
72992,"@RudolfKwame @JDMahama Masa Masa... We hear Taya
You and NPP all no difference Ã°Å¸Â¤Â¦",John,0.0," mahama masa masa we hear taya
you and npp all no difference ","['mahama', 'masa', 'masa', 'we', 'hear', 'taya', 'you', 'and', 'npp', 'all', 'no', 'differ']"
72993,"@leaderof_Africa @JDMahama Are you serious at all at least once in your life? 
No matter what he was once your presÃ¢â¬Â¦ https://t.co/Saqz4216WL",John,0.0," mahama are you serious at all at least once in your life 
no matter what he was once your pres ","['mahama', 'are', 'you', 'seriou', 'at', 'all', 'at', 'least', 'onc', 'in', 'your', 'life', 'no', 'matter', 'what', 'he', 'wa', 'onc', 'your', 'pre']"
72995,"@1Farakhan @Boakyewaa_N @Citi973 @JDMahama My question is simple, why didn't JM imprison wontumi but burnt his excaÃ¢â¬Â¦ https://t.co/T81dZiPMhM",John,0.0,   mahama my question is simple why didn't jm imprison wontumi but burnt his exca ,"['mahama', 'my', 'question', 'is', 'simpl', 'whi', ""didn't"", 'jm', 'imprison', 'wontumi', 'but', 'burnt', 'hi', 'exca']"
72997,@CitiTVGH @JDMahama Wow! Wow! Wow! I feel like an ambulance!,John,0.0, mahama wow wow wow i feel like an ambulance,"['mahama', 'wow', 'wow', 'wow', 'i', 'feel', 'like', 'an', 'ambul']"
72998,"@Boakyewaa_N @addo_u @Citi973 @JDMahama I'd explain again:
The position of JDM isn't decriminalisation of a criminaÃ¢â¬Â¦ https://t.co/gqouzbhDQh",John,0.0,"   mahama i'd explain again:
the position of jdm isn't decriminalisation of a crimina ","['mahama', ""i'd"", 'explain', 'again', 'the', 'posit', 'of', 'jdm', ""isn't"", 'decriminalis', 'of', 'a', 'crimina']"
72999,@Citi973 @JDMahama Reverse or forward? This is nuts! https://t.co/QL8S53Dzgg,John,0.0, mahama reverse or forward this is nuts ,"['mahama', 'revers', 'or', 'forward', 'thi', 'is', 'nut']"
73009,@AlbertkobbyOsei @JDMahama You missed the point. I said I do respond in like manner. Reread my previous msgs. AnyonÃ¢â¬Â¦ https://t.co/xN0XzR4p84,John,0.0, mahama you missed the point i said i do respond in like manner reread my previous msgs anyon ,"['mahama', 'you', 'miss', 'the', 'point', 'i', 'said', 'i', 'do', 'respond', 'in', 'like', 'manner', 'reread', 'my', 'previou', 'msg', 'anyon']"
73010,@AlbertkobbyOsei @ElvisFrimpongB1 @JDMahama Every president has faced that criticism to the extent that now NDC refÃ¢â¬Â¦ https://t.co/San9MCYxNj,John,0.0,  mahama every president has faced that criticism to the extent that now ndc ref ,"['mahama', 'everi', 'presid', 'ha', 'face', 'that', 'critic', 'to', 'the', 'extent', 'that', 'now', 'ndc', 'ref']"
73014,@1Farakhan @Boakyewaa_N @Citi973 @JDMahama Education is not only book and pen oo.,John,0.0,   mahama education is not only book and pen oo,"['mahama', 'educ', 'is', 'not', 'onli', 'book', 'and', 'pen', 'oo']"
73020,@JDMahama @NJOAgyemang @B1Solo is this man leaving in the 70s,John,0.0,mahama   is this man leaving in the s,"['mahama', 'is', 'thi', 'man', 'leav', 'in', 'the', 's']"
73079,@kingdela321 @JDMahama Lets not pretend Nana Addo wasn't behind the Buhari speech they are all the same African leaÃ¢â¬Â¦ https://t.co/ccfZsIICUc,John,0.0, mahama lets not pretend nana addo wasn't behind the buhari speech they are all the same african lea ,"['mahama', 'let', 'not', 'pretend', 'nana', 'addo', ""wasn't"", 'behind', 'the', 'buhari', 'speech', 'they', 'are', 'all', 'the', 'same', 'african', 'lea']"
73093,What will happen if @JDMahama win again?,John,0.0,what will happen if mahama win again,"['what', 'will', 'happen', 'if', 'mahama', 'win', 'again']"
73118,"@Daddy3977 @JDMahama Some you guys ankasa 
Ah well....",John,0.0," mahama some you guys ankasa 
ah well","['mahama', 'some', 'you', 'guy', 'ankasa', 'ah', 'well']"
73136,"@Kwesi_Agyei_ @ziontraingh @JDMahama If those countries are better than your country, then stick its matters... Anaa me boa? Ã°Å¸Â¤Â£",John,0.0,  mahama if those countries are better than your country then stick its matters anaa me boa ,"['mahama', 'if', 'those', 'countri', 'are', 'better', 'than', 'your', 'countri', 'then', 'stick', 'it', 'matter', 'anaa', 'me', 'boa']"
73144,@Daddy3977 @JDMahama And how does it bother you?,John,0.0, mahama and how does it bother you,"['mahama', 'and', 'how', 'doe', 'it', 'bother', 'you']"
73151,"Ã¢â¬ÅChase all the slay queens who are mentioning your name all over the placeÃ¢â¬ï¿½
Blakk Rasta to @JDMahama https://t.co/6YjSKcoBN4",John,0.0,"chase all the slay queens who are mentioning your name all over the place
blakk rasta to mahama ","['chase', 'all', 'the', 'slay', 'queen', 'who', 'are', 'mention', 'your', 'name', 'all', 'over', 'the', 'place', 'blakk', 'rasta', 'to', 'mahama']"
73154,@wofaYaw_Hova @JDMahama Anything for the votes... Shocking!,John,0.0, mahama anything for the votes shocking,"['mahama', 'anyth', 'for', 'the', 'vote', 'shock']"
73159,@THE_AMPONSA @JDMahama Hey hey hey,John,0.0, mahama hey hey hey,"['mahama', 'hey', 'hey', 'hey']"
73162,@JDMahama you think is a joke erh? Be serious boss https://t.co/elkYCQPlS5,John,0.0,mahama you think is a joke erh be serious boss ,"['mahama', 'you', 'think', 'is', 'a', 'joke', 'erh', 'be', 'seriou', 'boss']"
73165,"@sadiqabdulaiabu @JDMahama Am shock ! The ministry of gender etc is quiet Ã°Å¸Â¤Â« on this ! 
@RAkufoAddo @SBawumia if a rÃ¢â¬Â¦ https://t.co/CUakWdENFZ",John,0.0," mahama am shock  the ministry of gender etc is quiet  on this  
  if a r ","['mahama', 'am', 'shock', 'the', 'ministri', 'of', 'gender', 'etc', 'is', 'quiet', 'on', 'thi', 'if', 'a', 'r']"
73171,@slytlyusevirgin @nanakyidomhene @JDMahama @OfficialNDCGh You no dey shy?,John,0.0,  mahama ndc you no dey shy,"['mahama', 'ndc', 'you', 'no', 'dey', 'shi']"
73172,@Graphicgh @JDMahama Why only those under Nana Addo. What about those under NDC?,John,0.0, mahama why only those under nana addo what about those under ndc,"['mahama', 'whi', 'onli', 'those', 'under', 'nana', 'addo', 'what', 'about', 'those', 'under', 'ndc']"
